"","Text","Text_Tag","Author","Date","Label"
"1870","GM has ""repaid our government loan, in full, with interest, five years ahead of the original schedule.""","bankruptcy,economy,financial-regulation,transportation","Tarrance Arnao","2017/07/13","FAKE"
"1871","Go look at a Trump product. Theyre all made in China.","china","Hayley Jedrzejewicz","2017/05/28","FAKE"
"1872","Go look on the West Point website and youll see those specific words, full scholarship to West Point. So even though it is, you know, given as a grant for anybody who gets in, those words are used.","candidates-biography","Kort Fallanche","2017/05/15","REAL"
"1873","Going to public financing really disadvantages Democrats because you're not able to raise funds between the day you win the primaries and the time you're officially nominated.","elections","Catina Bachmann","2017/06/02","FAKE"
"1874","Goldman Sachs was Barack Obama's ""No. 1 private contributor.""","elections,market-regulation","Letisha Spadari","2017/08/11","REAL"
"1875","Gonzales losing campaign against me last spring was funded with more than $1 million from supporters and allies of Governor Bruce Rauner.","campaign-finance","Harley Ryves","2017/06/25","FAKE"
"1876","Goodwill Industries International pays workers with disabilities wages as low as pennies per hour.","disability,income,jobs,workers","Hallsy Bendelow","2017/10/05","FAKE"
"1877","Google search spike suggests many people dont know why they voted for Brexit.","technology","Shurwood Burnsell","2017/10/17","FAKE"
"1878","GOP candidate for governor Nathan Deal is a former Clinton Democrat.","voting-record","Cynde Petigrew","2018/11/04","FAKE"
"1879","Gov. (Pat) McCrory took $500,000 directly out of the disaster relief fund. And you know what its for? House Bill 2.","gays-and-lesbians,natural-disasters,sexuality,state-budget,state-finances,states,weather","Shae Jannex","2017/01/05","FAKE"
"1880","Gov. (Rick) Perry helped balance his budget with about $6 billion worth of federal help, which he happily took, and then started blaming the members of Congress who had offered that help.","state-budget,stimulus","Judye Meedendorpe","2017/01/12","REAL"
"1881","Gov. (Scott) Walker has yet to create a job, he gives away millions to his friends, and he raises taxes on working people.","job-accomplishments,jobs,taxes","Marijo Kidgell","2018/03/07","FAKE"
"1882","Gov. Bill Haslam is making our Economic Development department Sharia compliant by hiring a woman who specializes in Sharia compliance. Thats what her job is.","economy,religion","Meg Candlin","2017/05/10","FAKE"
"1883","Gov. Bob McDonnell in 2010 did not even create enough jobs to keep pace with population growth in Virginia.","jobs","Loralie MacDermott","2018/12/12","FAKE"
"1884","Gov. Bob McDonnell launched a raid on public education to pay for roads.","education,state-budget,transportation","Paul Style","2018/09/03","REAL"
"1885","Gov. Bob McDonnellsbudget plantakesmoney out of our classrooms to pave roads.","education,state-budget","Willy Fordyce","2017/02/06","REAL"
"1886","Gov. Chris Christie caused a 4.1 percent increase in property taxes in 2010, marking the highest increase since 2007.","taxes","Dru Isgar","2017/04/10","FAKE"
"1887","Gov. Chris Christie owes the state money for amenities like extra Gorgonzola cheese for his staff on these trips.","state-budget","Odie Daviddi","2017/05/21","FAKE"
"1888","Gov. Crist has never wavered in his support of the Second Amendment, the right to bear arms.","guns","Ethyl Whitwood","2018/01/12","REAL"
"1889","Gov. Crist's veto also clears the way for taxpayer funding of abortion in Florida.","abortion","Gwendolin Dolder","2018/01/28","FAKE"
"1890","Gov. Kitzhaber oversaw creation of the Oregon driver card law behind closed doors without allowing any input from citizens who represent the public interest.","immigration","Myra Tippetts","2017/11/08","FAKE"
"1891","Gov. Lawton Chiles said ""if I were to become ... become speaker of the House it would be (his) worst nightmare.""","candidates-biography","Kylen Sidnell","2018/05/23","REAL"
"1892","Gov. Lincoln Chafee has imposed a mandatory abortion fee on all Rhode Islanders who buy health insurance through the states Obamacare exchange.","abortion,government-regulation,health-care,public-health,religion","Alexei Cadogan","2018/05/29","FAKE"
"1893","Gov. Maggie Hassans budget proposal raises taxes on small businesses and increases taxes and fees by $100 million.","state-budget,taxes","Boycie Seston","2018/08/23","REAL"
"1894","Gov. McAuliffes budget would raid school, other $$ 4 Obamacare in VA.","medicaid,state-budget","Dorri Hitzmann","2017/06/27","FAKE"
"1895","Gov. Nathan Deal has taken at least $15,600 from the (Koch brothers), their businesses, and their employees.","campaign-finance","Lyndel Gilmartin","2017/02/22","FAKE"
"1896","Gov. Palin ... is somebody who actually doesn't believe that climate change is man-made.","environment","Bord MacMakin","2018/07/27","REAL"
"1897","Gov. Rick Perry broke his promise that he would not accept a $40,000 pay increase.","candidates-biography,ethics,job-accomplishments","Gerrie Babbs","2018/04/12","REAL"
"1898","Gov. Rick Perry has overseen the highest Texas unemployment in 22 years.","economy","Ed Canellas","2017/09/29","FAKE"
"1899","Gov. Rick Perry spent over a million dollars on D.C. lobbyists asking for more federal money and lives in a luxury house that costs taxpayers $10,000 a month.","ethics,transparency","Issiah Lavall","2017/01/18","REAL"
"1900","Gov. Rick Perry used $3.2 billion in stimulus dollars for schools to plug other holes in his budget.","education,stimulus","Graig Capron","2017/12/15","FAKE"
"1901","Gov. Rick Scott cut the cost of prepaid college tuition by nearly $20,000.","education","Melessa Limpertz","2017/03/18","REAL"
"1902","Gov. Rick Scott is trying to get a waiver under the federal health care law that would deny consumers in Florida the right to the $60 million in rebates they have from their own HMOs.","health-care","Linus Billborough","2017/04/24","FAKE"
"1903","Gov. Rick Scott signed into law a bill that gives Floridas public officials an easy way to avoid disclosing their personal finances.","elections,transparency","Kaylyn Brando","2018/07/03","FAKE"
"1904","Gov. Rick Scott tried to kick 180,000 people off the voter rolls.","elections,message-machine-2012","Loise Rowlson","2017/11/05","FAKE"
"1905","Gov. Rick Scotts sale of the state planes was not proper.","legal-issues,state-budget","Wallie Gadd","2017/10/04","REAL"
"1906","Gov. Romney cut off kosher meals for Jewish senior citizens who were on Medicaid to save $5 a day.","medicaid,religion,retirement","Kristien Hanway","2017/10/05","FAKE"
"1907","Gov. Romney's own health care plan in Massachusetts ... requires by law that a representative from Planned Parenthood sit on the MassHealth advisory board.","abortion","Mike Coldridge","2017/12/20","FAKE"
"1908","Gov. Scott Walker (is) more than halfway to (his) 250,000 jobs goal.","jobs","Carolann Cathersides","2017/01/10","FAKE"
"1909","Gov. Scott Walker and the Republican-controlled state legislature have added over $140 million in new special interest spending","health-care,small-business,taxes","Travus Szymonwicz","2018/11/04","FAKE"
"1910","Gov. Scott Walker bought 80 new, brand-new vehicles for the state that we probably dont need.","government-efficiency,state-budget,state-finances,transportation","Beauregard Rubinek","2017/10/29","FAKE"
"1911","Gov. Scott Walker hired convicted Assembly Speaker Scott Jensen to oversee a raid on the state employee retirement system to help balance the state budget.","labor,state-budget","Kali Cecere","2018/12/26","FAKE"
"1912","Gov. Scott Walker received a $7,300 pay raise.","state-finances","Mar Houseman","2017/07/23","FAKE"
"1913","Gov. Scott Walkers plan to freeze pay for state employees includes a 5.4 percent raise for himself.","state-finances","Rory Hassen","2018/07/20","FAKE"
"1914","Gov. Terry McAuliffe has made several statements that he would love to be in a Cabinet secretary position with the Clinton administration.","elections","Sancho Smalman","2017/05/12","FAKE"
"1915","Governing magazine has estimated that in the states that dont expand Medicaid, a minimum, they said of 40 percent of rural hospitals will close in those states...","health-care","Saidee Benjamin","2018/04/05","FAKE"
"1916","Government employees make 43 percent more in wages and benefits than private-sector workers.","government-efficiency,labor,unions","Natalie Brandli","2018/04/02","FAKE"
"1917","Government subsidies for renewable energies such as wind and solar are 100 times greater than those given to gas and coal, and 50 times greater than what the nuclear industry enjoys.","energy","Venita Dell'Abbate","2018/01/24","FAKE"
"1918","Governor (Perry), you were a Democrat, having worked for Al Gore as his campaign manager...","elections","Jeralee Geldart","2018/04/21","FAKE"
"1919","Governor Carcieri has not been campaigning with me.","candidates-biography,debates,campaign-advertising","Ursala Ettridge","2018/01/03","REAL"
"1920","Governor Christie also remains the only Governor since World War II, among both Democrats and Republicans, who failed to have his party win control of at least one legislative body over the course of his term.","elections","Daren Onslow","2018/01/15","FAKE"
"1921","Governor Christie, his idea of jumpstarting the economy is to propose a trickle-down income tax cut last year and in his budget address this year, he stated his support for it again.","taxes","Hartwell Lartice","2017/03/04","FAKE"
"1922","Governor Palin is the most popular governor in the country.","candidates-biography","Matthiew Otteridge","2018/08/04","REAL"
"1923","Governor Scott Cut Taxes 40 Times For Florida Families","taxes","Gerty Rubertelli","2018/01/10","FAKE"
"1924","Governor-elect Scott Walkers opposition to high-speed rail killed 13,000 Wisconsin jobs","jobs,transportation","Winna Lanahan","2017/03/03","FAKE"
"1925","Governors proposed budget raids K-12 school funds to grow DHS again.","education,state-budget","Yuma Camelli","2018/12/28","FAKE"
"1926","Graduation and third-grade reading scores are up in the state since I took office.","education","Abdul Beadle","2018/10/12","REAL"
"1927","Graduation rates of players at major football colleges are still twenty points below their male campus peers and worsened in the past three years.","education,sports","Dev Storry","2018/11/04","FAKE"
"1928","Granite State shipbuilders . . . built the first ship that sailed into battle under a new American flag.","history,military","Ker Bittleson","2017/08/02","FAKE"
"1929","Granite Staters who hold individual policies from Anthem...can indeed renew their policies and keep their current doctors and hospitals in 2014.","health-care","Miriam Ollin","2018/09/20","REAL"
"1930","Grateful insurance company executives and their lobbyists from Bermuda gave McCain $50,000.","taxes","Anabella Keelan","2018/03/13","REAL"
"1931","Greece has a GDP the size of the Dallas-Fort Worth Metroplex.","economy,foreign-policy,pundits","Corby Stichall","2017/04/08","REAL"
"1932","Greece is not a big economy. Its about the size of metropolitan Miami.","economy,foreign-policy","Rochella Howkins","2018/02/28","REAL"
"1933","Greenlight Pinellas wont take existing lanes from other vehicles.","transportation","Hurlee Bartoszewski","2018/05/08","FAKE"
"1934","Greg Abbott and his surrogates have referred to women who have been the victims of rape or incest as though somehow what they are confronting is a minor issue.","crime,ethics","Kennith Hicks","2018/12/12","FAKE"
"1935","Greg Abbott defended more than $5 billion in public school funding cuts in fighting hundreds of school districts in court.","education,state-budget,state-finances","Violet MacPharlain","2018/07/16","FAKE"
"1936","Greg Abbott did nothing to pursue reports of the sexual abuse of boys at a West Texas state-run school.","children,crime,criminal-justice","Alika Figgs","2018/02/27","FAKE"
"1937","Greg Abbott has benefitted from payday lenders who have given him $300,000 and then received a ruling from him that they can operate in a loophole in the law that allows them to charge unlimited rates and fees.","campaign-finance,financial-regulation","Claybourne O'Day","2018/09/11","REAL"
"1938","Greg Abbott has campaigned with a sexual predator who has bragged about having sex with underage girls.","corrections-and-updates,crime,ethics,sexuality","Ker Bittleson","2018/09/03","FAKE"
"1939","Greg Abbott said it would be a waste to expand pre-k to all Texas children.","children,education,state-budget,state-finances","Garrard Beaufoy","2017/12/13","FAKE"
"1940","Greg Abbott was charged with overseeing the state cancer research fund. But he let his wealthiest donors take tens of millions of taxpayer dollars without proper oversight. They showered Abbott with gifts and free vacations.","ethics,health-care,public-health,state-budget,state-finances","Gustie Prendeguest","2018/08/19","FAKE"
"1941","Grocery prices have risen significantly over the past year or so.","agriculture,economy,history","Morey Varndell","2018/05/05","FAKE"
"1942","Gross income tax receipts are exceeding the Administrations projections for this fiscal year prior to Sandy.","state-finances","Winni Bollands","2017/07/07","REAL"
"1943","Groups that receive foreign money are spending huge sums to influence American elections.","campaign-finance,corporations,abc-news-week","Misti Soar","2018/11/25","FAKE"
"1944","Guantanamo Bay detainees will get the H1N1 vaccine.","health-care,pundits,terrorism","Allina Burrel","2018/04/07","REAL"
"1945","Guantanamo detainees get taxpayer-paid-for prayer rugsthey had honey-glazed chicken and rice pilaf.","terrorism","Philip Georgiev","2018/07/27","REAL"
"1946","Guantanamo has never been a key component of ISIS or al-Qaida propaganda.","terrorism","Philipa Haddrill","2017/10/22","REAL"
"1947","Gubernatorial candidate Maggie Hassan supported 33 tax and fee increases as Senate Majority Leader.","taxes","Griz Callaghan","2018/05/15","FAKE"
"1948","Gun homicide is down 49 percent in the past 12 years.","guns","Jacqueline Gormally","2018/06/30","FAKE"
"1949","Gun marketplaces on Facebook mean ANYONE can broker a deal on a gun online, meet the seller in a parking lot somewhere, and walk away with a weapon.","guns","Jasmina Phelip","2018/03/19","REAL"
"1950","Gun violence is by far the leading cause of death for young African American men, outstripping the next nine causes of death combined.","diversity,guns","Maribelle Linstead","2018/07/24","REAL"
"1951","Guns have murdered more Americans here at home in recent years than have died on the battlefields of Iraq and Afghanistan.","guns","Phillis Callcott","2017/07/14","FAKE"
"1952","Gwinnett County government has made significant cutbacks in staffing.","county-budget,taxes","El Marrison","2018/10/24","FAKE"
"1953","Gwinnett Medical Center is operating in the negative, in part, because of illegal immigrants.","health-care,immigration","Min Rabat","2018/12/12","FAKE"
"1954","Had the online change of address been in place in 2008 an estimated 130,000 voters who cast provisional ballots could have changed their address online and voted a regular ballot.","elections","Cati Tomei","2018/11/08","REAL"
"1955","Hair stylists are required to undergo more government scrutiny than foreclosure consultants.","consumer-safety,housing","Hilario Wellbeloved","2017/10/17","REAL"
"1956","Half of all adults have a pre-existing condition that could affecttheir health care coverage.","health-care","Lyndel Gilmartin","2018/12/09","REAL"
"1957","Half of all Americans have less than $10,000 in their savings account.","families,income,pensions,poverty,wealth","Nedi Pinare","2018/11/07","REAL"
"1958","Half of all CEOs say that the shutdown and the threat of shutdown set back their plans to hire over the next six months.","economy,small-business","Dare Ruddiforth","2018/01/03","REAL"
"1959","Half of all NC legislative candidates are unopposed because of gerrymandering.","elections,legal-issues,redistricting,states","Onfre Norquoy","2017/08/03","REAL"
"1960","Half of all personal bankruptcies in America ""are caused by medical bills.""","health-care","Mariellen Betke","2017/11/09","REAL"
"1961","Half of illegal immigrants come on legal visas and then overstay.","immigration","Janka Hedylstone","2018/01/05","REAL"
"1962","Half of Oregon university students are on Pell Grants.","education,poverty","Myriam Swinfen","2017/12/10","REAL"
"1963","Half the kids coming out of college this year cant find a job, or a job thats consistent with a college degree.","education,jobs","Mike Kineton","2018/11/19","REAL"
"1964","Halliburton defrauded American taxpayers of hundreds of millions of dollars in Iraq.","corporations,government-efficiency,legal-issues,military,pundits,abc-news-week","Miriam Neno","2017/04/15","FAKE"
"1965","Handel endorsed gay adoption in 2003 when she was running for chairwoman of the Fulton County Commission.","gays-and-lesbians","Burgess Tromans","2018/08/28","FAKE"
"1966","Hank Johnson voted against legislation to help first responders, teachers, vets and troops.","voting-record","Carole Duplock","2018/01/15","FAKE"
"1967","Harris County, Texas has some of the highest jailing and incarceration rates in the U.S. and the world.","corrections-and-updates,criminal-justice","Esra Kubasek","2018/01/03","REAL"
"1968","Harry Reid has voted to give illegals Social Security benefits even for the time they were here illegally.","immigration,message-machine,social-security","Israel Dallinder","2017/06/16","FAKE"
"1969","Harry Reid has voted to give special tax breaks to illegal aliens.","immigration,message-machine,taxes","Aubrey Vasilchikov","2017/06/02","FAKE"
"1970","Harry Reid says he does more for Nevada. Hes done more for unemployment. We were at 4.4 percent. Now were at 14 percent. Hes done more for the foreclosure rate. We have the highest foreclosure rate in the nation. Hes done more for bankruptcy. We have the highest bankruptcy rate in the nation.","bankruptcy,economy,housing,message-machine","Moyra Struthers","2017/01/08","FAKE"
"1971","Harry Reid voted to use taxpayer dollars to pay for Viagra for convicted child molesters and sex offenders.","crime,federal-budget,health-care,message-machine","Cymbre Comini","2018/12/12","FAKE"
"1972","Harry Reid was against (the nuclear option) before he was for it. Mitch McConnell was for it before he was against it. President Obama was against it before he was for it.","congressional-rules","Christiane Stone","2018/04/06","REAL"
"1973","Harry Reids plan is basically giving the president a blank check.","deficit,federal-budget","Jacky Calveley","2018/01/03","FAKE"
"1974","Harvard Study Finds States With Most Gun Laws Have Fewest Gun Deaths.","crime,criminal-justice,guns,public-safety","Ailsun Aven","2018/04/14","FAKE"
"1975","Has created 60,000 net new jobs since taking office.","economy,jobs","Sean Giacobelli","2018/10/01","REAL"
"1976","Hate crimes against American Muslims and mosques have tripled after Paris and San Bernardino.","crime,diversity,homeland-security,terrorism","Suzann Roaf","2018/08/19","REAL"
"1977","Hate speech is excluded from protection under the First Amendment.","legal-issues,supreme-court","Catherine Giottini","2018/12/28","FAKE"
"1978","Have the suburbs been inundated with former residents of Atlanta housing projects? Absolutely not.","housing","Herbie McTrustram","2018/08/30","REAL"
"1979","Having a baby is aleading cause of poverty spells in the United States.","jobs,poverty,women","Carolee Caldero","2018/07/10","FAKE"
"1980","Having an active father makes children 98 percent more likely to graduate from college.","children,education,gays-and-lesbians,marriage","Georgianna Ablitt","2017/06/23","FAKE"
"1981","Having an entirely Democrat congressional delegation in 2009, when the [federal stimulus] bill passed, increases the per capita stimulus dollars that the state receives per person by $460.","congress,elections,stimulus","Myrtie Joburn","2018/06/02","FAKE"
"1982","He ""stood up to Barack Obama by passing legislation that prevents you from being forced to join government health plans or buy health insurance against your will.""","health-care","Caz Dachs","2017/03/03","FAKE"
"1983","He (Kirk) did violate Pentagon rules, twice actually, for improperly mingling politics with his military service.","afghanistan,candidates-biography,iraq,message-machine,military,patriotism","Rodina Gillitt","2017/10/31","REAL"
"1984","He (Obama) has done several things well. Most of those things are places where he changed his view from where he had during the campaign. So, for instance, he's left our troops in Iraq and they're being more successful there. He boosted our effort in Afghanistan, which is the right course to take. He did not close Guantanamo, thank heavens.","afghanistan,iraq","Tiler McCorkell","2017/03/09","FAKE"
"1985","He admits he still doesn't know how to use a computer, can't send an e-mail.","candidates-biography","Miriam Neno","2018/11/01","REAL"
"1986","He has asked for $932-million of earmark pork-barrel spending, nearly a million dollars for every day that hes been in the United States Senate.","federal-budget","Tarrah Hildred","2017/01/16","REAL"
"1987","He has never voted for a federal restriction on gun ownership.","guns","Mervin Guichard","2018/01/03","REAL"
"1988","He has ushered in $3 billion in new investment.","candidates-biography,economy","Larissa Lauga","2018/05/22","FAKE"
"1989","He leant his name to a bill, did little or nothing three years ago to try to get it passed, (and) since then has done absolutely nothing other than disavow any attempt to move on the legislation.","guns","Burgess Tromans","2017/06/26","FAKE"
"1990","He made time to go to the gym, but canceled a visit with wounded troops. Seems the Pentagon wouldn't allow him to bring cameras.","military","Percy Ferrige","2017/03/16","FAKE"
"1991","He positions himself as pro environment, but he scored a zero yes, zero from the League of Conservation Voters last year.","environment","Elinore Baniard","2017/12/29","FAKE"
"1992","He reformed welfare before others tried.","job-accomplishments","Sharai Cubbit","2018/02/04","FAKE"
"1993","He told gay organizers in Massachusetts he would be a stronger advocate for special rights than even Ted Kennedy.","gays-and-lesbians","Nap Gooddy","2018/05/20","REAL"
"1994","He took on special interests and won, passing the toughest ethics law yet.","candidates-biography,ethics","Levi Ship","2017/03/07","FAKE"
"1995","He won't even support his colleague's ... motion to censure the Bush administration for systemic repeated illegal wiretaps.","bush-administration,civil-rights","Elias Goodday","2017/09/24","REAL"
"1996","He's (Romney) the one who said that he would be to the left of Teddy Kennedy on gay rights.","gays-and-lesbians","Katerina Jennemann","2018/10/20","REAL"
"1997","He's a good man but he's a pro-life liberal. He's right on the pro-life part, but he's a liberal.","candidates-biography","Diarmid Pareman","2018/08/22","FAKE"
"1998","He's been endorsed by ""every major newspaper here in the state of Texas.""","elections","Lesli Winterton","2017/04/23","REAL"
"1999","He's promising four more years of an administration that will push for the privatization of Social Security...","economy","Archer Markwick","2017/09/27","FAKE"
"2000","He's sued gun manufacturers. He was supportive of Brady. He was supportive of things like assault weapon bans.","guns","Willem MacGaffey","2017/11/26","REAL"
"2001","Health care is the greatest contribution to spending increases in the state budget.","health-care,medicaid,state-budget,state-finances","Dynah Aston","2018/06/01","REAL"
"2002","Health care mandate will require imprisonment and fines for Americans who cant afford to purchase insurance or pay hefty government penalties.","health-care,legal-issues,taxes","Abigail Pinchin","2018/07/25","FAKE"
"2003","Health care premiums up 90 percent in New Hampshire.","health-care","Amalie Balcock","2018/09/16","FAKE"
"2004","Health care reform ""establishes a new board of federal bureaucrats (the 'Health Benefits Advisory Committee') to dictate the health plans that all individuals must purchase.""","health-care","Felix Peasee","2017/12/27","FAKE"
"2005","Health care reform ""requires the use of federal dollars to fund abortions through the government-run health plan.""","abortion,health-care","Kay Grimsdale","2018/09/03","FAKE"
"2006","Health care reform legislation is likely to mandate free sex change surgeries.","health-care","Lillis Carrington","2017/09/10","FAKE"
"2007","Health care reform plans being consided in Congress ""will finally reduce the costs of health care.""","health-care","Floyd Fiddiman","2018/07/01","FAKE"
"2008","Health care reform will not affect veterans' benefits.","health-care,veterans","Flem Idale","2017/09/19","REAL"
"2009","Health care reform: Everything about it is going to raise costs, raise taxes and lower the quality of health care.","health-care","Rosabella South","2017/07/09","FAKE"
"2010","Health insurance companies are making record profits, right now.","corporations,health-care","Meredeth Szymanski","2018/07/06","FAKE"
"2011","Health insurance companies deny 1 out of 5 treatments prescribed by doctors.","health-care","Roslyn Gregori","2018/01/16","FAKE"
"2012","Health insurance companies pay CEOs $24 million a year","corporations,health-care","Elinore Baniard","2017/02/01","FAKE"
"2013","Health insurance costs for Floridians are up 30 percent or more.","health-care","Jessie Bretherton","2017/06/02","FAKE"
"2014","Health insurance is more expensive in Massachusetts than anywhere else in the country.","health-care,states","Henderson Greder","2018/10/05","REAL"
"2015","Health insurance premiums ""have almost doubled ... since 2000.""","health-care","Cymbre Comini","2018/03/18","REAL"
"2016","Health proposal would create a ""40% tax on health care benefits of middle-class workers.""","health-care,taxes","Hanna Dawber","2017/07/09","FAKE"
"2017","Health reform eliminates co-pays, deductibles, and other costs for preventative care and provides for free annual wellness checkups starting next year.","health-care","Gayler Kettlewell","2018/01/14","REAL"
"2018","Health reform will ""give every American the same opportunity"" to buy health insurance the way members of Congress do.","health-care","Milly Astling","2017/02/15","FAKE"
"2019","Hedge fund managers and others in private equity pay much lower (tax) rates on their income than do truck drivers and teachers and nurses.","labor,taxes","Wilbur Alleburton","2017/07/18","FAKE"
"2020","Her health care plan will cost $110-billion in the first year, which can be paid for with savings.","health-care","Lorry Boydon","2017/09/27","FAKE"
"2021","Her opponent: zero times a judge, zero rulings, zero experience on the bench.","job-accomplishments","Bartholemy Mingo","2018/12/02","REAL"
"2022","Here are the stats: Per population, we kill each other with guns at a rate 297x more than Japan, 49x more than France, 33x more than Israel.","crime,criminal-justice,guns","Adrianna Gleadhall","2017/04/18","REAL"
"2023","Here in California, Donald Trump has given $12,000 to Jerry Brown, Gavin Newsom and Kamala Harris.","campaign-finance,elections","Salomo Aspel","2018/10/11","REAL"
"2024","Here in Virginia, we have the opportunity to become the first state on the East Coast to explore for and produce oil and natural gas offshore.","energy,states","Erena Burgwyn","2018/10/22","REAL"
"2025","Here in Wisconsin, weve put in previous budgets more money into mental health services than any governor has in the last 25 years.","health-care,public-health,state-budget,terrorism","Paolina Wimlet","2017/11/26","REAL"
"2026","Here, we have Thanksgiving, we have Christmas, we have the 4th of July. Every year in Iran, they celebrate Death to America day.","foreign-policy,history,nuclear","Shurwood Burnsell","2018/11/27","FAKE"
"2027","Here's a man who brags about how he made the city safe. It was the Biden crime bill that became the Clinton crime bill that allowed him to do that.","crime","Hakeem Bruhn","2017/11/08","FAKE"
"2028","Heres something that people never talk about with coach Schiano: Rutgers had the best graduation rate of any Division I football program in America.","education,sports","Durante Lapthorne","2018/04/04","FAKE"
"2029","Heres the simple and undeniable fact: The overwhelming majority of violent criminals are Democrats.","crime,criminal-justice,legal-issues","Gustie Prendeguest","2017/12/29","FAKE"
"2030","Herman Cain is a pro-choice candidate.","abortion,message-machine-2012","Germaine Ardern","2017/05/19","FAKE"
"2031","Heroin and prescription opioids are the number one cause of accidental or preventable death in Wisconsin.","crime,drugs,health-care,public-health","Brod Disley","2017/04/02","FAKE"
"2032","Hes been in office nearly four years now, but 40% of Wisconsinites dont know who (U.S. Sen.) Ron Johnson is.","congress,job-accomplishments,polls","Florina McInteer","2018/12/09","FAKE"
"2033","Hidden in the healthcare.gov code is language that means users waive any reasonable right to privacy of your personal information.","health-care,privacy,technology","Lancelot McDirmid","2017/05/28","FAKE"
"2034","High school students arrested on campus are twice as likely not to graduate and four times less likely to graduate if theyve appeared in court.","criminal-justice,education","Else Treske","2018/07/17","REAL"
"2035","Higher beer production and higher consumption go hand-in-hand.","Alcohol,market-regulation","Juli Seiler","2017/04/12","FAKE"
"2036","Hillary [Clinton] wants to raise taxes by over a trillion dollars.","taxes","Tonnie Pieter","2017/08/24","FAKE"
"2037","Hillary Clinton ""actually differed with (John McCain) by arguing for exceptions for torture before changing positions.""","terrorism","Jeffy Roskelly","2018/08/05","REAL"
"2038","Hillary Clinton ""agreed with (John McCain) on voting for the war in Iraq.""","iraq","Janine Walenta","2017/04/22","REAL"
"2039","Hillary Clinton ""has the only health care plan that covers every American.""","health-care","Emmalynne Harman","2018/02/19","REAL"
"2040","Hillary Clinton ""starts off with 47 percent of the country against her.""","elections","Drake Sharer","2017/08/14","REAL"
"2041","Hillary Clinton advocates ""a freeze on foreclosures. Barack Obama said no.""","economy","Ado Itzakson","2017/04/23","REAL"
"2042","Hillary Clinton agrees with John McCain ""by voting to give George Bush the benefit of the doubt on Iran.""","foreign-policy","Mar Houseman","2017/11/11","REAL"
"2043","Hillary Clinton and Barack Obama want to raise capital gains taxes, which apply to home sales.","taxes","Lyndell Deavin","2017/06/03","FAKE"
"2044","Hillary Clinton and Barack Obama want to raise taxes on all income brackets.","taxes","Derick Finey","2017/10/12","FAKE"
"2045","Hillary Clinton and Barack Obama want to raise taxes on dividends, a move that would crash the stock market.","taxes","Kalil Kitchener","2018/03/23","FAKE"
"2046","Hillary Clinton and her campaign of 2008 startedthe birther controversy.","obama-birth-certificate","Karol Creevy","2018/12/03","FAKE"
"2047","Hillary Clinton believed NAFTA was a 'boon' to our economy.","economy","Sherlocke Millsap","2018/09/30","FAKE"
"2048","Hillary Clinton has already said shes going to wipe out the Second Amendment. She doesnt believe in the First Amendment. And, she also believes in big government, which flies in the face of the 10th Amendment","campaign-finance,guns,supreme-court","Jesus Johanchon","2017/07/27","FAKE"
"2049","Hillary Clinton has taken over $800,000 from lobbyists.","ethics","Fey Bowen","2018/07/14","REAL"
"2050","Hillary Clinton in 2005 co-sponsored legislation that would jail flag burners.","patriotism","Aveline Traylen","2018/05/24","REAL"
"2051","Hillary Clinton invented ISIS with her stupid policies. She is responsible for ISIS.","foreign-policy,terrorism","Tymothy Guenther","2017/05/27","FAKE"
"2052","Hillary Clinton is ""willing to have workers' wages garnisheed if they refuse to buy health insurance.""","health-care,workers","Claudette Helbeck","2018/12/08","FAKE"
"2053","Hillary Clinton is for open borders.","immigration","Robinson Rouff","2018/07/15","FAKE"
"2054","Hillary Clinton said, with a straight face, that the terrorist attacks this weekend were caused by Donald J. Trump","terrorism","Augustina Featherstonhaugh","2017/11/11","FAKE"
"2055","Hillary Clinton says she wants to, raise taxes on the middle class.","taxes","Tonye Tremblot","2018/03/25","FAKE"
"2056","Hillary Clinton supported NAFTA and permanent China trade. Pennsylvania lost thousands of jobs.","foreign-policy","Dal Levesque","2017/10/15","FAKE"
"2057","Hillary Clinton supports unlimited abortion on demand up until the moment of birth, including partial-birth abortion, with taxpayer funding.","abortion","Myrtie Joburn","2017/08/01","FAKE"
"2058","Hillary Clinton surged the trade deficit with China 40% as Secretary of State, costing Americans millions of jobs.","economy,foreign-policy,jobs,trade","Consalve Boarder","2017/04/02","FAKE"
"2059","Hillary Clinton wants to ""wave the white flag of surrender and set a date for withdrawal.""","job-accomplishments","Jared Hutson","2017/07/10","FAKE"
"2060","Hillary Clinton wants to shut down family farms using radical regulation, by raising business tax rates as high as nearly 50 percent and by taxing family farms again at death by as much as 45 percent.","agriculture,economy,government-regulation,taxes,wealth","Caralie Franklen","2018/03/13","FAKE"
"2061","Hillary Clinton was against setting a deadline for withdrawal, but now she wants a ""precipitous withdrawal"" regardless of ""conditions on the ground"" or ""consequences of a defeat for the United States,"" an RNC radio ad.","iraq","Irita Mayman","2017/01/05","FAKE"
"2062","Hillary Clintons international travels included no serious diplomacy.","foreign-policy","Dov Sarver","2017/11/06","FAKE"
"2063","Hillary Clintons State Department sent three comedians to India on the Make Chai, Not War tour.","foreign-policy,job-accomplishments","Vanny Bassano","2018/05/05","REAL"
"2064","Hillary interned with Bob Treuhaft, the head of the California Communist Party.","candidates-biography","Noah Adenot","2018/08/08","FAKE"
