Text;Text_Tag;Author;Date;Label
Says Merrick Garland authored an opinion that resulted in the release of 17 Guantanamo Bay prisoners who were part of a group of violent Islamist extremists the State Department had designated as terrorists.;foreign-policy,military,supreme-court,terrorism;Keri Leverson;2017/11/20;FAKE
Congress has 11 percent approval ratings, yet 96.4 percent of incumbent lawmakers were re-elected in 2014.;congress;Wallis Dalliwater;2017/05/19;REAL
Letting the Bush tax cuts expire would raise taxes on small businesses.;economy,small-business,taxes;Babara Shellard;2017/03/03;FAKE
Statistics bear out that any time a country, a state, makes more restrictive abortion laws ... fatalities go up and abortions actually increase.;abortion,government-regulation,women;Zacharie Parmiter;2017/04/21;FAKE
The presidents budget would take ... non-defense spending to its lowest level ... as a percentage of the economy since JFK.;economy,federal-budget,military;Daisi Anglin;2017/12/30;REAL
Of the approximately 6 million disenfranchised felons in the United States, one-quarter are Floridians.;crime,elections;Derick Finey;2018/11/17;REAL
"Obama ""basically threatened to bomb Pakistan.""";foreign-policy;Brandea Sibun;2018/05/18;FAKE
The Governor did not consult members of his own party before he released his [transportation] plan.;transportation;Judie Murkus;2017/05/19;FAKE
Ohio has lost more population than every other state in the country except for two.;economy;Janine Walenta;2017/04/01;FAKE
Here in California, Donald Trump has given $12,000 to Jerry Brown, Gavin Newsom and Kamala Harris.;campaign-finance,elections;Salomo Aspel;2018/10/11;REAL
Gov. Rick Perry has overseen the highest Texas unemployment in 22 years.;economy;Ed Canellas;2017/09/29;FAKE
On support for the auto bailouts.;congress,transportation;Hastings Tomczykowski;2018/01/10;FAKE
Ed Gillespies 2006 book promoted an individual health care mandate, and recommends that it be enforced by the IRS through the income tax code.;medicaid,taxes;Shari Cromar;2018/12/23;REAL
When Republican extremists tried to take away abortion rights Blake Rocap stopped them.;abortion,candidates-biography;Constantine Bunten;2018/01/24;FAKE
Says Obama refuses to recognize Jerusalem as the capital of Israel.;foreign-policy,israel,message-machine-2012;Hana Moynihan;2018/09/22;FAKE
Says he helped to draft parts of the Dodd-Frank Wall Street reform bill.;congress,financial-regulation;Emilia Comiam;2017/09/15;FAKE
Says income tax rates under Eisenhower were as high as 90 percent.;taxes;Scarlet Ketteringham;2017/05/11;REAL
American homeownership rate in Q2 2016 was 62.9% - lowest rate in 51yrs.;economy,housing;Kerwinn Bicker;2017/08/22;REAL
Romneys Medicare plan was estimated to cost the average senior about $6,000 a year.;debates,medicare,retirement;Kaleb Gonnel;2018/05/05;FAKE
If we had the same staffing ratio (of officers to residents) as Seattle, wed have 300 more officers in our department.;public-safety;Alla Delafoy;2017/04/02;REAL
Department of Veterans Affairs doctors are prohibited from recommending medical marijuana.;marijuana;Tonye Tremblot;2017/12/03;REAL
When career politician Daniel Webster became speaker of the House, he wasted $32,000 of our money on a spiral staircase for his office.;candidates-biography,ethics,message-machine,state-budget,taxes;Renae Deathridge;2017/05/04;REAL
Texas had the highest level of turnout than ever before in the primary.;elections;Pasquale Asser;2018/06/11;FAKE
"Says the difference between her and Barack Obama is ""about 35 years of experience.""";candidates-biography;Minetta Fraanchyonok;2017/08/28;FAKE
22 veterans take their own lives each day.;veterans;Samson Stood;2017/03/17;REAL
The United States is the only major country on earth that doesnt guarantee health care to all people as a right, not a privilege.;health-care;Lizzy Douglass;2018/04/28;FAKE
Said former U.S. Ambassador to Kenya Scott Gration was forced to resign two years ago because of his personal use of emails.;ethics,transparency;Irma Jonas;2017/03/15;FAKE
Says Florida is a model for successful pretrial release programs.;crime,criminal-justice;Janos Dysart;2017/09/15;FAKE
If you have ever visited Nashville or Washington D.C. you will see MANY names and initials carved into ... desks.;government-efficiency;Guglielmo Barr;2017/04/21;FAKE
Redistribution has never been a characteristic of America.;economy,federal-budget,history,taxes;Lilah Joskowicz;2018/08/10;FAKE
Tampa is the strip club capital of the world.;economy,pop-culture;Jorrie Brobak;2018/11/17;FAKE
Said they reached a power-sharing agreement with Republican Lt. Gov. Casey Cagle;elections;Natalie Brandli;2018/09/23;FAKE
Says between 6 and 20 bicycles can be parked in the space required by one car.;transportation;Addi Van Dale;2018/05/05;FAKE
I unsealed my records at Marquette University.;candidates-biography,education,elections;Clarine Ollerhead;2017/07/06;FAKE
Says that U.S. Rep. Allen West is a constituent of mine.;elections,redistricting;Dallas Sellman;2018/10/07;REAL
The U.S. gives foreign aid to Cuba and Venezuela, even though those countries are our enemies.;federal-budget,foreign-policy;Keri Leverson;2017/05/09;FAKE
Says Texas wildfires are linked to climate change.;climate-change,environment;Dosi Bescoby;2018/07/10;FAKE
if the Agreement goes into effect, the millions of Mexican citizens who will become eligible for Social Security benefits may have a far stronger claim to benefits and protection against cuts than U.S. citizens!;social-security;Gabbi Konrad;2017/03/07;FAKE
Earlier this year, [John DePetro] was accused of sexually assaulting a female co-worker.;crime,legal-issues,pundits,unions,women;Cati Tomei;2018/03/27;FAKE
"Photo of ""tea party"" protests shows crowd sprawling from Capitol to Washington Monument";history;Elisa de Werk;2017/02/08;FAKE
The approval of the United States was 20 points higher when (Hillary Clinton) left the secretary of states office than when she took it.;foreign-policy,job-accomplishments,polls;Wilhelm Clemett;2017/12/20;FAKE
Every one of the 67 supervisors of elections in Florida refused to carry out the effort to remove noncitizens from the voter rolls.;elections,message-machine-2012;Roobbie Pichmann;2017/08/16;FAKE
Bill Richardson is the only major Democratic candidate with a plan to withdraw all American troops from Iraq. All of the other major Democratic candidates support leaving American troops in Iraq indefinitely.;iraq;Barbabra Collingdon;2017/04/28;REAL
I earned more votes in the state of Wisconsin than Donald Trump did in New York.;elections;Artus Inmett;2017/07/21;REAL
There are 278 Republicans in Congress. (With Eric Cantors defeat), they are now all Christian and all white except for one black senator, who was appointed.;congress,diversity,religion;Dyanna Storrar;2018/06/12;FAKE
If the Stamp Farm wind turbine is built, the health risk of flicker impact created by shadows of blades of turbines poses real and significant health risks, particularly seizures.;energy,environment;Dulsea Snashall;2017/03/17;FAKE
Gov. Crist's veto also clears the way for taxpayer funding of abortion in Florida.;abortion;Gwendolin Dolder;2018/01/28;FAKE
Says she condemned violence at a campaign stop in Arizona in March.;elections;Charles Fesby;2018/02/24;REAL
According to the most recent report, Wisconsins high school graduation rates are also up again -- to third best in the country.;children,education,states;Miguel Wyre;2018/11/18;REAL
In Iran in 1979, the extremists hijacked the broad-based popular revolution against the Shah and established a brutal theocracy.;foreign-policy,history;Miguel Cronchey;2017/03/23;REAL
On immigration reform, Marco Rubio all along has been saying, We have to have border security first and then he gets on Spanish TV, he ends up saying, No, no. That will never get in the way.;candidates-biography,immigration;Petronia Fazakerley;2017/02/28;FAKE
Dem-controlled Ohio House voted to change the process, to create objective criteria, to modify the Constitution ... to take politics out of the efforts to draw legislative boundaries.;redistricting;Franny Kelso;2018/01/29;FAKE
Over the last few years, weve put more people back to work than all the other advanced economies combined.;economy,jobs,labor,workers;Carole Duplock;2017/07/21;FAKE
"Obama ""voted against critical resources: no to individual body armor, no to helicopters, no to ammunition, no to aircraft.""";military;Karlen Jack;2017/02/21;FAKE
Says U.S. Sen. Sherrod Brown is responsible for over $14 trillion in debt.;deficit,federal-budget;Tabitha Snuggs;2017/01/30;FAKE
Under Tom Barretts leadership, violent crime in Milwaukee has decreased by over 20% -- to its lowest levels in more than 20 years.;crime,job-accomplishments;Saudra Ickovicz;2018/03/23;FAKE
Barack Obama appeared in the video for 'Whoomp! (There it is!)';candidates-biography,job-accomplishments;Umberto Lattimore;2018/10/26;FAKE
Florida has the most concealed weapon permits in the nation, nearly double that of the second state, which is Texas.;corrections-and-updates,guns;Burnaby Butting;2017/03/07;REAL
Under President George W. Bush, the U.S. had 52 months of ... uninterrupted job creation and revenues were at an all-time high in 2007.;economy,history,taxes;Abbe Dunn;2018/01/03;REAL
Says Gov. Scott Walker didnt balance the budget so we now have a larger state deficit 14 months into (his) term than we did when he was elected.;state-budget;Karolina Van de Vlies;2018/11/01;FAKE
Says that compared to direct sales by manufacturers, consumers save avg of $500 per car sold through franchised dealer model.;transportation;Hillel Keer;2017/06/12;FAKE
Says that Josh Mandel voted to let insurance companies deny coverage for autism;education,health-care,message-machine-2012;Fiorenze Armell;2018/04/07;REAL
Prior to Obamacare here in Wisconsin, 95 percent of Wisconsinites were covered by insurance. After Obamacare, 95 percent of Wisconsinites were covered by insurance. It hasnt had an impact.;health-care;Alexei Cadogan;2017/01/05;FAKE
Secretary Clinton changes her position on (gun issues) every election year, it seems, having one position in 2000 and then campaigning against President Obama and saying we dont need federal standards.;candidates-biography,guns;Englebert Hinksen;2018/05/18;FAKE
The rifle used by Omar Mateen shoots off 700 rounds in a minute.;guns;Daren Onslow;2018/12/23;FAKE
Building and running the Atlanta Streetcar is projected to create 1,399 jobs.;transportation;Halsy Stroobant;2018/03/19;FAKE
Wisconsin is one of the bluest states, but under Scott Walker its unemployment rate is around 3.5%.;bipartisanship,elections,job-accomplishments,jobs,labor,states;Miles Holleworth;2017/09/18;FAKE
Residential property taxes [in Providence] are up nearly 27 percent under Mayor Taveras.;city-budget,job-accomplishments,campaign-advertising,taxes;Teressa MacCarter;2018/02/23;FAKE
Assault weapons and handguns are allowed in the state Capitol while bullhorns, trumpets, helium balloons and flags on poles are banned.;guns;Scarlet Ketteringham;2017/12/09;REAL
Teachers are working their third consecutive year -- some longer than that -- without salary increases.;education;Alvina Dignan;2017/01/12;FAKE
The highest paid employee of the State of Rhode Island is a basketball coach.;education,sports,state-budget;Beverie Strickland;2018/02/26;REAL
I don't have lobbyists running my campaign.;ethics;Jesus Johanchon;2018/07/27;FAKE
Expanding Medicaid would require borrowing more money, drastically expanding our deficit.;debt,deficit,federal-budget,health-care,medicaid;Gwenni Blesli;2018/02/24;FAKE
After (Jeb) Bushs two terms in office, Floridas graduation rate was dead last and remains near the bottom.;education;Florina McInteer;2018/09/13;REAL
Farming is one of the fastest growing areas of our economy.;agriculture,economy;Randie Prentice;2017/02/21;FAKE
Weve seen the increase of alcohol use for underage kids even though alcohol has been illegal ... for kids under 21.;Alcohol,drugs,marijuana;Teddie Rolfs;2018/04/15;FAKE
If we had been on Obamacare and a bureaucrat was trying to tell me when I could get that CAT scan, that would have delayed my treatment.;health-care;Lisle De Bruyn;2018/10/31;FAKE
The proposed Keystone XL oil pipeline is a bipartisan proposal.;bipartisanship,climate-change,environment;Levin Ernke;2018/01/07;REAL
On support for gay marriage.;gays-and-lesbians;Durward Spriggen;2018/01/10;REAL
Says Mitt Romney just gave a speech a few weeks ago and said we should still have troops in Iraq.;debates,iraq,military;Fiorenze Armell;2018/03/30;REAL
Says David Dewhurst explicitly advocated a guest worker program for all illegal immigrants.;immigration,workers;Katerine Boldero;2017/05/28;REAL
A Republican proposal changes Medicare for those under age 55 so that they will participate in the same kind of health plan that members of Congress do.;corrections-and-updates,federal-budget,health-care,medicare,abc-news-week;Read Scannell;2018/05/23;FAKE
Says the Affordable Care Act was a federal takeover of the student loan industry and profits on the loans go to help pay for the health care law.;corrections-and-updates,education,federal-budget,health-care;Holt Southern;2018/09/13;FAKE
Barack Obama had 150 days in the U.S. Senate where he was able to vote quite often 'present.';candidates-biography;Hayley Jedrzejewicz;2018/11/19;FAKE
Much more than 50 percentof parents out there are spankers.;families;Farra Weagener;2018/11/02;REAL
Wisconsin is one of the highest taxed states in the nation.;taxes;Anthe Dubarry;2018/07/21;FAKE
Says opponent Bill Flores helped run a company that laid off over 3,000 workers and paid off executives with millions.;candidates-biography,economy,message-machine;Violante Kibbe;2018/04/19;FAKE
"Says Michelle Obama has 43 people on her staff; Nancy Reagan had just 3.";deficit,federal-budget,pundits;Sibel De Castri;2018/11/01;FAKE
Says Rick Perry doubled spending in a decade.;state-budget,state-finances;Lanna Tucknutt;2017/01/22;FAKE
Texas still owns all of its public lands. If the federal govt wants to create a park, they must ask permission!;history,recreation,states;Corina O'Kieran;2017/07/06;FAKE
The 9-0 decision last week was the 13th time the Supreme Court voted 9-0 that the president had exceeded his constitutional authority.;supreme-court;Lorri MacAscaidh;2017/10/31;FAKE
Says Tammy Baldwin supports a law in which government will take over your decisions on medicine, on doctors and on hospitals.;health-care,medicare,privacy,public-health;Michal Workman;2017/09/17;FAKE
The projected $1.8 billion state budget shortfall for 2015-17 actually comes from an assumption based on zero growth. That just doesnt happen.;state-budget,state-finances;Janos Dysart;2018/06/18;FAKE
Says if we do nothing and continue to let Obamacare siphon off that $700 billion dollars off the top of it, Medicare goes away in less than 10 years -- certain accounts of it -- and it just falls apart at the seams.;health-care,medicare;Enriqueta Portinari;2018/01/20;FAKE
Says Sen. John McCain spent the July 4 weekend in Islamabad, Pakistan, selling F-16s and advanced weapons to the folks who harbored Osama bin Laden.;terrorism;Eleanora Ohanessian;2018/07/22;FAKE
Says Donald Trump doesnt make a thing in America.;job-accomplishments;Shay Krier;2018/07/10;FAKE
Why is President Obama unnecessarily delaying your flight? FAA could cut other spending.;federal-budget;Jesus Johanchon;2017/10/26;FAKE
John Cornyn has voted to increase the debt, raise taxes, bail out Wall Street banks and fund Obamacare.;corrections-and-updates,debt,financial-regulation,health-care,taxes;Meredeth Szymanski;2018/06/18;FAKE
Washington politicians run Social Security like a Ponzi scheme.;message-machine,social-security;Horatia Klulisek;2018/10/24;FAKE
Says Republican presidential candidate and Gov. John Kasich has spent 177 days out of state and used $350,000 in taxpayer money on his costly campaign.;campaign-finance,state-finances,taxes;Patricia Guillerman;2018/01/03;REAL
Ever wonder why no one ever came forward from Obamas past, saying they knew him, attended school with him, was his friend, etc.? Not one person has ever come forward from his past.;candidates-biography;Jeannette Fegan;2018/06/11;FAKE
California has the sixth largest economy on planet Earth.;economy,housing;Federica Patrick;2017/08/19;REAL
"Barack Obama's plan calls for ""mandates and fines for small businesses.""";health-care;Georgena Langford;2018/10/30;FAKE
Says area near proposed northern Wisconsin iron ore mine is 15 hours away from where public hearing on mining was held.;environment,government-regulation;Robina Gloucester;2017/06/13;FAKE
Our credit rating went up since Ive been in office.;corrections-and-updates,financial-regulation,state-finances;Filberto Issacoff;2018/01/20;FAKE
African-American children are 500 percent more likely to die from asthma than white kids.;children,diversity,health-care,public-health;Shari Cromar;2017/12/09;REAL
U.S. police killed more people in just one month than the U.K.s did in over a century.;guns;Ruthie Red;2018/01/26;FAKE
The legislature was never given the opportunity to debate or vote on loaning $75 million to 38 Studios.;baseball,corporations,economy,state-finances,voting-record;Evita Ringrose;2017/10/26;REAL
When we've got CEOs making more in 10 minutes than ordinary workers are making in a year ... then something is wrong.;economy;Natalie Brandli;2017/06/15;REAL
Says 11 soccer players on the U.S. Mens National Team are immigrants.;immigration,sports;Lanna Tucknutt;2018/10/09;FAKE
The president by executive order could grant voting rights to illegal immigrants who are newly legalized under pending legislation.;elections,immigration,legal-issues;Gerek Newbold;2018/03/23;FAKE
Rob Portman won the fewest votes of all Ohio U. S. Senate victors since 2000.;elections,campaign-advertising;Catherine Giottini;2017/10/22;REAL
Says U.S. Senate candidate Michelle Nunn was handpicked by President Barack Obama;bipartisanship,elections;Jarib Crippes;2017/02/21;FAKE
China owns about 29 percent of (the U.S.) debt.;china;Deva Whitelock;2017/04/05;FAKE
Chris Sununu supported Obamas Common Core agenda, taking away local control of our schools.;education,voting-record;Sean Giacobelli;2018/02/04;FAKE
(President Barack Obama) said unemployment was never gonna go over 8 percent if we passed the stimulus plan.;stimulus;Kali Cecere;2017/12/11;FAKE
Gwinnett County government has made significant cutbacks in staffing.;county-budget,taxes;El Marrison;2018/10/24;FAKE
Says the Constitution specifically states the Congress shall write legislation for immigration policy, so Barack Obama lacks the authority to defer the deportation of young illegal immigrants.;immigration,legal-issues;Natalie Brandli;2017/03/06;FAKE
Crime rises in communities with casinos.;crime,gambling;Kay Grimsdale;2018/04/24;FAKE
Americans spend 6.1 billion hours a year complying with tax law. It costs us $163 billion to comply with our tax laws annually.;taxes;Shaine Howselee;2018/08/18;REAL
A space shuttle the National Museum of the United States Air Force near Dayton would be within a days drive of 60 percent of the U.S. population.;space,tourism;Gena Oxtarby;2018/11/18;FAKE
It isnt me cutting the budget. Its the Congressdecision on sequestration. So it isnt secretary of defense or the president doing this.;debt,federal-budget,military;Keri Leverson;2017/02/21;FAKE
Arizona schools rank 45th in the nation, dead last in funding per student.;education;Amalie Balcock;2017/04/17;REAL
Rhode Island is at the top of the country for alcohol-related fatalities.;crime;Bethina Teas;2018/05/13;REAL
"Maj. Nidal Hasan, the man accused of the Fort Hood shootings, ""was an ADVISOR to the Obama Administration.""";military,terrorism;Gerrie Babbs;2017/06/08;FAKE
Florida has the second-lowest (campaign) contribution limit in the entire country.;campaign-finance;Jena Althorpe;2018/09/15;FAKE
As CEO of WWE, Linda McMahon was caught tipping off a ringside physician about a federal investigation into illegally distributing steroids to wrestlers.;candidates-biography,message-machine;Roderic Hubbard;2018/10/15;REAL
We have, right now, Hezbollah, which is working throughout Latin America, in Venezuela, in Mexico, throughout Latin America, which poses a very significant and imminent threat to the United States of America.;foreign-policy,terrorism;Araldo Moores;2018/01/21;FAKE
Says taking millionaires off food stamps and unemployment would save $20 million.;deficit,federal-budget,jobs,taxes;Elijah Attkins;2017/09/25;REAL
The last six polls, including this week's Time magazine, show that I beat John McCain by six or seven points.;elections;Quintus Tittershill;2017/10/18;REAL
David Beckhams proposed soccer stadium at Miamis Port threatens the 207,000 jobs and $27 billion economic impact tied to the cargo and cruise industries.;county-government,jobs,recreation,sports;Clarine Ollerhead;2017/05/19;FAKE
If we pass immigration reform, it will make wages go up on average $250 for the average household.;immigration;Burgess Tromans;2018/01/10;FAKE
Says that when President Bill Clinton raised the top tax rates to levels now proposed by Obama, the country experienced significant job growth.;deficit,jobs,taxes;Gerrie Babbs;2018/06/01;FAKE
Scott Walker gave Wisconsin job creation money to his cronies: corporate friends who contributed to his campaigns and got $570 million in job-development incentives;campaign-finance,economy,elections;Farrell Happel;2017/02/06;FAKE
Due to actions by President Barack Obama, the Burger King national headquarters announced this month that they will be pulling their franchises from our military bases.;corporations,government-regulation,jobs,military;Karolina Van de Vlies;2018/02/26;FAKE
Scott Walker has a plan to privatize state lands and wants to sell our deer to the highest bidder.;recreation;Stephanie Harriagn;2018/05/13;FAKE
The United States had allies lined up for air strikes in Syria and then Obama pulled the rug out.;terrorism;Jenica Maureen;2017/01/22;FAKE
We saw the president of the United States engage American troops in a fourth conflict in a foreign land. This is historic.;history,military;Dosi Bescoby;2017/03/15;FAKE
Says hes signed a pledge not to raise taxes four times.;taxes;Marve Tryme;2018/07/14;REAL
Unemployment in Texas has risen over two percentage points with Rick Perry as governor.;economy,jobs;Vito Krolman;2018/10/07;FAKE
(U.S. Reps.) Paul Ryan, Sean Duffy and Reid Ribble are shutting down town hall meetings, or making their constituents pay to attend them.;medicare;Flin Mager;2018/11/02;FAKE
Rick Perry thinks injecting 11- and 12-year-old girls with a controversial drug (the HPV vaccine), without a parents consent, is a good idea.;children,message-machine;Levin Ernke;2017/09/22;FAKE
A 2005 gay pride vote had nothing to do with discrimination.;gays-and-lesbians;Ursala Ettridge;2017/01/27;FAKE
The Republicans still want to privatize (Social Security). In fact, their whole idea is to turn over the Social Security trust fund to Wall Street.;social-security;Ivette Scandrite;2017/11/07;FAKE
On the night of the Iowa caucuses, Obama promised the nation that he would do health care reform focused on cost containment, he opposed an individual mandate, and he said he was going to do it with Republicans.;health-care;Felicle Bigley;2018/05/30;REAL
Says Florida rubber-stamped phony horse racing.;gambling,market-regulation;Clarinda Gorstidge;2017/03/15;FAKE
One of the key things about Leonard Lance is that in 2008, when you look at [the] Project Vote Smart website, he was not for guns. Now he has gone too far to the right, saying that you can carry concealed weapons in national parks.;candidates-biography,guns;Leola Isakowicz;2017/05/23;FAKE
Says she helped lead the launch of curbside recycling.;city-government,environment;Bryn Collison;2018/03/25;FAKE
"Barack Obama ""wants the government to take over health care, spend hundreds of billions of dollars of new money for health insurance for everyone.""";health-care;Ivette Scandrite;2018/09/08;FAKE
We have 25 million Americans out of work.;economy,jobs;Amy Gauge;2018/04/19;FAKE
The national debt increased $16,000 every secondGeorge Allen served in theU.S. Senate.;deficit,federal-budget;Gerty Rubertelli;2017/08/13;REAL
Our small staff of 51 is still fewer than we had a decade ago, yet our caseload -- like that of other courts -- has grown.;criminal-justice,state-finances;Devora Simmans;2017/03/10;REAL
Guantanamo Bay detainees will get the H1N1 vaccine.;health-care,pundits,terrorism;Allina Burrel;2018/04/07;REAL
On whether he would vote for the budget proposed by Rep. Paul Ryan, R-Wis.;deficit,federal-budget,medicare;Judie Murkus;2017/08/25;FAKE
Women in Ohio earn on average 77 cents for every dollar earned by a man.;jobs,women,workers;Irma Jonas;2017/11/18;REAL
Hillary Clinton and her campaign of 2008 startedthe birther controversy.;obama-birth-certificate;Karol Creevy;2018/12/03;FAKE
The average taxpayer will see the equivalent of a 2 percent pay raise as a result of low fuel prices.;gas-prices,income;Jacky Calveley;2017/07/12;REAL
Says Bill Nelson voted to cut $700 billion out of Medicare to pay for Obamacare.;medicare;Tab Catlow;2018/11/07;FAKE
Says U.S. Rep. John Barrow, D-Ga., celebrates gun ownership even in the face of school shootings.;guns;Baxy Pannett;2018/11/26;FAKE
"Schoolchildren across the nation ""will be forced to watch the president justify his plans for government-run health care, banks, and automobile companies, increasing taxes on those who create jobs, and racking up more debt than any other president.""";education;Issiah Scales;2017/11/07;FAKE
Wisconsin employers have repeatedly said in surveys that our anti-business litigation climate is one of the most important factors affecting their expansion decisions.;jobs,legal-issues,small-business;Shari Cromar;2018/01/08;FAKE
On abortion;abortion,candidates-biography;Yuma Skilton;2017/07/25;FAKE
The Pasco County budget has doubled in the past three years.;county-budget;Enriqueta Portinari;2017/11/18;FAKE
The fact is, in the past year we have had more tax cuts than almost any time in our nation's history.;federal-budget,health-care,stimulus,taxes;Kathlin Jain;2017/10/22;FAKE
Says a new state report confirms that red-light cameras lead to more accidents, more injuries and greater cost.;transportation;Calla Rounding;2018/01/08;FAKE
Only seven of 18 federal food assistance programs have been associated with positive health and nutrition outcomes, while the remaining 11 have not been effective.;federal-budget,government-efficiency;Augustin Bozier;2018/05/20;FAKE
Republicans enacted the most drastic cuts to K-12 public schools of any state in the nation.;education,state-budget;Jourdan Stopp;2018/03/25;FAKE
Just look at what the FBI director said about her (Hillary Clinton) her misconduct is a disgrace and embarrassment to our country.;candidates-biography,criminal-justice,job-accomplishments,legal-issues,campaign-advertising,public-service,technology;Allison Beales;2018/01/04;FAKE
When his grandfather arrived in the United States, there were no government benefits for immigrants.;welfare;Emmett Ateggart;2017/10/01;FAKE
Says rejecting federal aid to expand Medicaid in Texas will send $9 billion in federal taxes paid by Texans to other states to insure their working poor.;health-care,medicaid,taxes;Andy Piche;2018/09/18;FAKE
Big oil's filling John McCain's campaign with $2-million in contributions.;ethics;Allyson Sangster;2017/08/09;REAL
We have over 700,000 illegal immigrants in the state. Theyre costing us billions of dollars and theyre taking legal residents jobs.;immigration;Creighton Simmank;2018/02/22;FAKE
A third of all the young people in America are not in America today because of abortion, because one in three pregnancies end in abortion.;abortion,health-care,social-security;Sigismondo Goodbanne;2018/07/20;FAKE
Says Mitt Romneys plan makes catastrophic cuts to education.;education,message-machine-2012;Hakeem Bruhn;2017/10/24;FAKE
On same-sex marriage.;gays-and-lesbians,marriage;Margette Choppin;2017/04/10;FAKE
According to the most recent jobs report, weve got more Americans leaving the workforce than we have finding jobs.;economy,jobs;Yuma Skilton;2017/06/02;FAKE
Fidel (Castro) has made his preferences known in the campaign and had some very unkind things to say about me.;foreign-policy;Stephanie Harriagn;2017/11/03;REAL
Former Atlanta Public Schools Superintendent Beverly Hall left the school district significantly better than she found it.;education;Janka Hedylstone;2018/07/11;FAKE
Says that the federal gas tax has not been raised since 1993.;infrastructure,jobs,taxes,transportation;Neall Arrowsmith;2017/04/22;REAL
In my home state, nearly one in five Floridians live in poverty.;poverty;Wallie Gadd;2018/07/15;REAL
Ninety-four percent of the bills that pass the Senate have no debate, no vote, no amendments, no reading of the bill, no online disclosure.;government-efficiency,transparency;Myriam Swinfen;2018/12/22;FAKE
Since last years address, more than 10,000 jobs created -- many on the high end of the employment scale.;jobs;Merilee Reddie;2018/07/04;REAL
David Perdue proposes rolling back the clock on womens health care.;health-care;Pembroke Ramsdell;2017/04/21;FAKE
52 jobs have been saved or created in Florida's 34th Congressional District.;economy,stimulus;Constantine Bunten;2018/12/29;FAKE
Says Scott Walkers bad budget includes: No weekend for workers.;jobs,labor,unions;Constantia Chapell;2017/04/18;FAKE
SaysPresident Obama and his allies in Congress gave power to control Medicare patients health care decisions to a commission of 15 unelected bureaucrats in Washington.;health-care;Horacio Esser;2017/09/29;FAKE
Since 9/11, right-wing extremists (incl anti-abortion, anti-gov) have killed more Americans than Islamic extremists.;islam,terrorism;Gabe Ivashkin;2017/07/22;FAKE
Millions of people have given up looking for work altogether.;economy;Petronia Fazakerley;2018/03/18;REAL
Under Hillary Clinton, State Department officials were sending official thank-yous to people who gave to the Clinton Foundation.;corrections-and-updates,foreign-policy;Cassy Boggon;2018/07/16;FAKE
Says Bill Clinton signed a law very similar to, and Barack Obama voted for a law something like, Indianas Religious Freedom Restoration Act.;civil-rights,gays-and-lesbians,legal-issues,religion,supreme-court;Levin Ernke;2017/08/24;FAKE
Says the United States is the only nation that affords citizenship to anyone born here, whether you are here legally or illegally.;immigration;Flin Mager;2017/08/14;FAKE
Mary Burkes record: 130,000 fewer jobs.;economy,job-accomplishments,jobs;Salomo Aspel;2018/01/10;FAKE
Says she would bring 186,740 new jobs to Wisconsin and Donald Trump would cost Wisconsin 61,050 jobs.;economy,jobs,taxes;Killie Stallard;2018/10/30;FAKE
Says Planned Parenthood provides about 140 visits for prenatal care in each state.;health-care;Felix Peasee;2018/11/24;FAKE
Says that in 41 states, government workers are better paid than the taxpayers who support them.;state-budget,states,workers;Patricia Guillerman;2018/12/29;FAKE
We are imprisoning or giving jail sentences to young people who are smoking marijuana.;criminal-justice,drugs,legal-issues,marijuana;Waite Spurling;2018/07/16;FAKE
500,000 people have signed up for #Obamacare.;health-care,medicaid;Nelia Treadway;2017/04/13;FAKE
The number of new illegal immigrant families who have crossed the border so far this year already exceeds the entire total from 2015.;immigration;Lazarus Bostock;2018/09/01;FAKE
The economy began its nose dive when Democrats took control of Congress in January 2007.;economy;Artus Inmett;2017/01/31;FAKE
Says Russ Feingold cut Medicare by $523 billion.;federal-budget,medicare,message-machine;Hervey Greated;2017/01/30;FAKE
Bin Laden had declared war against Pakistan.;foreign-policy,military,terrorism;Egon Bendall;2017/05/26;FAKE
No family earns too much to qualify for Oregon Healthy Kids program.;children,health-care;Haroun Resdale;2017/03/03;REAL
Says that in Curry County, if you make a 911 call youre likely to wait for an hour for a response.;county-budget,county-government,public-safety,state-budget,taxes;Shay Krier;2017/04/26;FAKE
Says when he was governor, most of the Democrats voted for his billion-dollar property-tax cuts, but U.S. Senate rival Tammy Baldwin voted against it.;state-budget,taxes,voting-record;Morse Tinker;2018/04/02;FAKE
When Tallahassee politicians and bureaucrats tried to run our schools, Ive stood up to them to protect local control.;children,education,florida,message-machine;Levi Ship;2018/02/11;REAL
John McCain said last year he didn't know of a solution to the mortgage crisis.;economy,housing;Gennifer Jurgen;2018/12/12;REAL
One Wisconsin school district is so worried about losing state funding that it has stopped giving milk to elementary school kids during snack time.;education,pundits,state-budget;Nils Thecham;2017/01/27;FAKE
Mitt Romney is tearing down his 3,000-square-foot house to build an 11,000-square-foot house.;candidates-biography,message-machine-2012;Alano Pighills;2018/11/14;REAL
Jeff Weems legal record is one of defending BP, Enron and just about every big oil company against the working man.;candidates-biography,energy;Gabe Ivashkin;2017/04/10;FAKE
Our crime rate continues to plummet.;crime;Bonita Berzen;2017/03/21;REAL
If you sell your house after 2012 you will pay a 3.8 percent sales tax on it.;economy,health-care,housing,income,retirement,taxes;Saudra Ickovicz;2017/11/05;FAKE
